chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,8832,30,3350,2,1166,42742,2184,3350,43908,0,0,208.64,milp
35,7000,8832,30,3350,4,1170,48184,2180,3350,49354,0,0,210.26,milp
35,7000,8832,30,3350,6,1172,41607,2178,3350,42779,0,0,206.41,milp
35,7000,8832,30,3350,8,1197,39926,2153,3350,41123,0,0,204.36,milp
35,7000,8832,30,3350,10,1160,42108,2190,3350,43268,1,0,205.28,milp
35,7000,8832,30,3350,12,1173,42698,2177,3350,43871,0,0,206.27,milp
35,7000,8832,30,3350,14,1172,45091,2178,3350,46263,0,0,210.59,milp
35,7000,8832,30,3350,16,1154,47878,2196,3350,49032,0,0,208.43,milp
35,7000,8832,30,3350,18,1112,43644,2238,3350,44756,0,0,210.17,milp
35,7000,8832,30,3450,0,1176,53500,2274,3450,54676,0,0,219.97,milp
35,7000,8832,30,3450,2,1158,52468,2292,3450,53626,0,0,218.31,milp
35,7000,8832,30,3450,4,1168,57245,2282,3450,58413,0,0,222.25,milp
35,7000,8832,30,3450,6,1166,51169,2284,3450,52335,0,0,219.44,milp
35,7000,8832,30,3450,8,1182,49511,2268,3450,50693,0,0,213.98,milp
35,7000,8832,30,3450,10,1142,52364,2308,3450,53506,1,0,216.79,milp
35,7000,8832,30,3450,12,1163,52451,2287,3450,53614,0,0,216.77,milp
35,7000,8832,30,3450,14,1164,53700,2286,3450,54864,0,0,219.74,milp
35,7000,8832,30,3450,16,1140,56150,2310,3450,57290,0,0,220.03,milp
35,7000,8832,30,3450,18,1109,52174,2341,3450,53283,0,0,220.38,milp
35,7000,8832,30,3550,0,1160,64735,2390,3550,65895,0,0,231.45,milp
35,7000,8832,30,3550,2,1131,64973,2419,3550,66104,0,0,232.09,milp
35,7000,8832,30,3550,4,1149,68448,2401,3550,69597,0,0,234.55,milp
35,7000,8832,30,3550,6,1156,61035,2394,3550,62191,0,0,228.64,milp
35,7000,8832,30,3550,8,1179,61788,2371,3550,62967,0,0,227.91,milp
35,7000,8832,30,3550,10,1117,63472,2433,3550,64589,1,0,229.23,milp
